i,p,r,a,t,level,marginal,lower,upper,scale
Austria,food_clothing,M,3,12,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,3,13,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,3,14,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,3,15,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,3,16,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,3,17,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,3,18,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,3,19,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,3,20,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,3,21,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,3,22,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,3,23,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,3,24,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,3,25,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,3,26,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,3,27,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,3,28,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,3,29,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,3,30,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,3,31,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,1,0,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,1,1,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,1,2,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,1,3,12924.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,1,4,13062.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,1,5,10147.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,1,6,10346.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,1,7,8805.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,1,8,10573.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,1,9,9519.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,1,10,7635.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,1,11,7254.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,1,12,7158.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,1,13,6610.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,1,14,5611.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,1,15,5375.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,1,16,4029.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,1,17,4602.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,1,18,3808.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,1,19,3801.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,1,20,4515.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,1,21,2098.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,1,22,598.0,-0.0,0.0,inf,1.0
