i,p,t,level,marginal,lower,upper,scale
Denmark,food_clothing,29,0.0,-0.0,0.0,inf,1.0
Denmark,food_clothing,30,0.0,-0.0,0.0,inf,1.0
Denmark,food_clothing,31,0.0,-0.0,0.0,inf,1.0
Denmark,housing,0,0.0,-0.0,0.0,inf,1.0
Denmark,housing,1,0.0,-0.0,0.0,inf,1.0
Denmark,housing,2,0.0,-0.0,0.0,inf,1.0
Denmark,housing,3,0.0,-0.0,0.0,inf,1.0
Denmark,housing,4,0.0,-0.0,0.0,inf,1.0
Denmark,housing,5,0.0,-0.0,0.0,inf,1.0
Denmark,housing,6,0.0,-0.0,0.0,inf,1.0
Denmark,housing,7,0.0,-0.0,0.0,inf,1.0
Denmark,housing,8,564.0,-0.0,0.0,inf,1.0
Denmark,housing,9,0.0,-0.0,0.0,inf,1.0
Denmark,housing,10,1068.0,-0.0,0.0,inf,1.0
Denmark,housing,11,491.0,-0.0,0.0,inf,1.0
Denmark,housing,12,0.0,-0.0,0.0,inf,1.0
Denmark,housing,13,445.0,-0.0,0.0,inf,1.0
Denmark,housing,14,0.0,-0.0,0.0,inf,1.0
Denmark,housing,15,0.0,-0.0,0.0,inf,1.0
Denmark,housing,16,5910.0,-0.0,0.0,inf,1.0
Denmark,housing,17,5661.0,-0.0,0.0,inf,1.0
Denmark,housing,18,5367.0,-0.0,0.0,inf,1.0
Denmark,housing,19,5067.0,-0.0,0.0,inf,1.0
Denmark,housing,20,2950.0,-0.0,0.0,inf,1.0
Denmark,housing,21,601.0,-0.0,0.0,inf,1.0
Denmark,housing,22,325.0,-0.0,0.0,inf,1.0
Denmark,housing,23,0.0,-0.0,0.0,inf,1.0
Denmark,housing,24,779.0,-0.0,0.0,inf,1.0
Denmark,housing,25,531.0,-0.0,0.0,inf,1.0
Denmark,housing,26,239.0,-0.0,0.0,inf,1.0
Denmark,housing,27,0.0,-0.0,0.0,inf,1.0
Denmark,housing,28,0.0,-0.0,0.0,inf,1.0
Denmark,housing,29,0.0,-0.0,0.0,inf,1.0
Denmark,housing,30,0.0,-0.0,0.0,inf,1.0
Denmark,housing,31,0.0,-0.0,0.0,inf,1.0
Denmark,nonfood_items_clothing,0,0.0,-0.0,0.0,inf,1.0
Denmark,nonfood_items_clothing,1,0.0,-0.0,0.0,inf,1.0
Denmark,nonfood_items_clothing,2,0.0,-0.0,0.0,inf,1.0
Denmark,nonfood_items_clothing,3,0.0,-0.0,0.0,inf,1.0
Denmark,nonfood_items_clothing,4,0.0,-0.0,0.0,inf,1.0
Denmark,nonfood_items_clothing,5,0.0,-0.0,0.0,inf,1.0
Denmark,nonfood_items_clothing,6,0.0,-0.0,0.0,inf,1.0
Denmark,nonfood_items_clothing,7,0.0,-0.0,0.0,inf,1.0
Denmark,nonfood_items_clothing,8,0.0,-0.0,0.0,inf,1.0
Denmark,nonfood_items_clothing,9,0.0,-0.0,0.0,inf,1.0
Denmark,nonfood_items_clothing,10,1155.0,-0.0,0.0,inf,1.0
Denmark,nonfood_items_clothing,11,0.0,-0.0,0.0,inf,1.0
Denmark,nonfood_items_clothing,12,0.0,-0.0,0.0,inf,1.0
Denmark,nonfood_items_clothing,13,0.0,-0.0,0.0,inf,1.0
Denmark,nonfood_items_clothing,14,781.0,-0.0,0.0,inf,1.0
Denmark,nonfood_items_clothing,15,0.0,-0.0,0.0,inf,1.0
Denmark,nonfood_items_clothing,16,499.0,-0.0,0.0,inf,1.0
Denmark,nonfood_items_clothing,17,0.0,-0.0,0.0,inf,1.0
Denmark,nonfood_items_clothing,18,0.0,-0.0,0.0,inf,1.0
Denmark,nonfood_items_clothing,19,957.0,-0.0,0.0,inf,1.0
Denmark,nonfood_items_clothing,20,478.0,-0.0,0.0,inf,1.0
Denmark,nonfood_items_clothing,21,0.0,-0.0,0.0,inf,1.0
Denmark,nonfood_items_clothing,22,0.0,-0.0,0.0,inf,1.0
Denmark,nonfood_items_clothing,23,0.0,-0.0,0.0,inf,1.0
Denmark,nonfood_items_clothing,24,0.0,-0.0,0.0,inf,1.0
Denmark,nonfood_items_clothing,25,1809.0,-0.0,0.0,inf,1.0
Denmark,nonfood_items_clothing,26,1225.0,-0.0,0.0,inf,1.0
Denmark,nonfood_items_clothing,27,748.0,-0.0,0.0,inf,1.0
Denmark,nonfood_items_clothing,28,0.0,-0.0,0.0,inf,1.0
Denmark,nonfood_items_clothing,29,0.0,-0.0,0.0,inf,1.0
Denmark,nonfood_items_clothing,30,0.0,-0.0,0.0,inf,1.0
Denmark,nonfood_items_clothing,31,0.0,-0.0,0.0,inf,1.0
France,food_clothing,0,0.0,-0.0,0.0,inf,1.0
France,food_clothing,1,0.0,-0.0,0.0,inf,1.0
France,food_clothing,2,0.0,-0.0,0.0,inf,1.0
France,food_clothing,3,0.0,-0.0,0.0,inf,1.0
France,food_clothing,4,0.0,-0.0,0.0,inf,1.0
France,food_clothing,5,0.0,-0.0,0.0,inf,1.0
