i,j,s,t,level,marginal,lower,upper,scale
Austria,Germany,info_legal,5,0.0,200.0,0.0,inf,1.0
Austria,Germany,info_legal,6,0.0,200.0,0.0,inf,1.0
Austria,Germany,info_legal,7,0.0,200.0,0.0,inf,1.0
Austria,Germany,info_legal,8,0.0,200.0,0.0,inf,1.0
Austria,Germany,info_legal,9,1.0,200.0,0.0,inf,1.0
Austria,Germany,info_legal,10,0.0,200.0,0.0,inf,1.0
Austria,Germany,info_legal,11,0.0,200.0,0.0,inf,1.0
Austria,Germany,info_legal,12,0.0,200.0,0.0,inf,1.0
Austria,Germany,info_legal,13,0.0,200.0,0.0,inf,1.0
Austria,Germany,info_legal,14,0.0,200.0,0.0,inf,1.0
Austria,Germany,info_legal,15,0.0,200.0,0.0,inf,1.0
Austria,Germany,info_legal,16,0.0,200.0,0.0,inf,1.0
Austria,Germany,info_legal,17,0.0,200.0,0.0,inf,1.0
Austria,Germany,info_legal,18,0.0,200.0,0.0,inf,1.0
Austria,Germany,info_legal,19,0.0,200.0,0.0,inf,1.0
Austria,Germany,info_legal,20,0.0,200.0,0.0,inf,1.0
Austria,Germany,info_legal,21,0.0,200.0,0.0,inf,1.0
Austria,Germany,info_legal,22,0.0,200.0,0.0,inf,1.0
Austria,Germany,info_legal,23,0.0,200.0,0.0,inf,1.0
Austria,Germany,info_legal,24,0.0,200.0,0.0,inf,1.0
Austria,Germany,info_legal,25,0.0,200.0,0.0,inf,1.0
Austria,Germany,info_legal,26,0.0,200.0,0.0,inf,1.0
Austria,Germany,info_legal,27,0.0,200.0,0.0,inf,1.0
Austria,Germany,info_legal,28,0.0,200.0,0.0,inf,1.0
Austria,Germany,info_legal,29,0.0,200.0,0.0,inf,1.0
Austria,Germany,info_legal,30,0.0,200.0,0.0,inf,1.0
Austria,Germany,info_legal,31,0.0,200.0,0.0,inf,1.0
Austria,Germany,medical,0,0.0,200.0,0.0,inf,1.0
Austria,Germany,medical,1,0.0,200.0,0.0,inf,1.0
Austria,Germany,medical,2,0.0,200.0,0.0,inf,1.0
Austria,Germany,medical,3,0.0,200.0,0.0,inf,1.0
Austria,Germany,medical,4,0.0,200.0,0.0,inf,1.0
Austria,Germany,medical,5,0.0,200.0,0.0,inf,1.0
Austria,Germany,medical,6,0.0,200.0,0.0,inf,1.0
Austria,Germany,medical,7,0.0,200.0,0.0,inf,1.0
Austria,Germany,medical,8,0.0,200.0,0.0,inf,1.0
Austria,Germany,medical,9,0.0,200.0,0.0,inf,1.0
Austria,Germany,medical,10,0.0,200.0,0.0,inf,1.0
Austria,Germany,medical,11,0.0,200.0,0.0,inf,1.0
Austria,Germany,medical,12,0.0,200.0,0.0,inf,1.0
Austria,Germany,medical,13,0.0,200.0,0.0,inf,1.0
Austria,Germany,medical,14,0.0,200.0,0.0,inf,1.0
Austria,Germany,medical,15,0.0,200.0,0.0,inf,1.0
Austria,Germany,medical,16,0.0,200.0,0.0,inf,1.0
Austria,Germany,medical,17,0.0,200.0,0.0,inf,1.0
Austria,Germany,medical,18,0.0,200.0,0.0,inf,1.0
Austria,Germany,medical,19,0.0,200.0,0.0,inf,1.0
Austria,Germany,medical,20,0.0,200.0,0.0,inf,1.0
Austria,Germany,medical,21,0.0,200.0,0.0,inf,1.0
Austria,Germany,medical,22,0.0,200.0,0.0,inf,1.0
Austria,Germany,medical,23,0.0,200.0,0.0,inf,1.0
Austria,Germany,medical,24,0.0,200.0,0.0,inf,1.0
Austria,Germany,medical,25,0.0,200.0,0.0,inf,1.0
Austria,Germany,medical,26,0.0,200.0,0.0,inf,1.0
Austria,Germany,medical,27,0.0,200.0,0.0,inf,1.0
Austria,Germany,medical,28,0.0,200.0,0.0,inf,1.0
Austria,Germany,medical,29,0.0,200.0,0.0,inf,1.0
Austria,Germany,medical,30,0.0,200.0,0.0,inf,1.0
Austria,Germany,medical,31,0.0,200.0,0.0,inf,1.0
Austria,Hungry,info_legal,0,0.0,200.0,0.0,inf,1.0
Austria,Hungry,info_legal,1,0.0,200.0,0.0,inf,1.0
Austria,Hungry,info_legal,2,0.0,200.0,0.0,inf,1.0
Austria,Hungry,info_legal,3,0.0,200.0,0.0,inf,1.0
Austria,Hungry,info_legal,4,0.0,200.0,0.0,inf,1.0
Austria,Hungry,info_legal,5,0.0,200.0,0.0,inf,1.0
Austria,Hungry,info_legal,6,0.0,200.0,0.0,inf,1.0
Austria,Hungry,info_legal,7,0.0,200.0,0.0,inf,1.0
Austria,Hungry,info_legal,8,0.0,200.0,0.0,inf,1.0
Austria,Hungry,info_legal,9,0.0,200.0,0.0,inf,1.0
Austria,Hungry,info_legal,10,0.0,200.0,0.0,inf,1.0
Austria,Hungry,info_legal,11,0.0,200.0,0.0,inf,1.0
Austria,Hungry,info_legal,12,0.0,200.0,0.0,inf,1.0
Austria,Hungry,info_legal,13,0.0,200.0,0.0,inf,1.0
Austria,Hungry,info_legal,14,0.0,200.0,0.0,inf,1.0
Austria,Hungry,info_legal,15,0.0,200.0,0.0,inf,1.0
Austria,Hungry,info_legal,16,0.0,200.0,0.0,inf,1.0
Austria,Hungry,info_legal,17,0.0,200.0,0.0,inf,1.0
Austria,Hungry,info_legal,18,0.9999999999988596,200.0,0.0,inf,1.0
Austria,Hungry,info_legal,19,0.0,200.0,0.0,inf,1.0
Austria,Hungry,info_legal,20,1.0,200.0,0.0,inf,1.0
Austria,Hungry,info_legal,21,0.0,200.0,0.0,inf,1.0
Austria,Hungry,info_legal,22,0.0,200.0,0.0,inf,1.0
Austria,Hungry,info_legal,23,0.0,200.0,0.0,inf,1.0
Austria,Hungry,info_legal,24,0.0,200.0,0.0,inf,1.0
Austria,Hungry,info_legal,25,0.0,200.0,0.0,inf,1.0
Austria,Hungry,info_legal,26,0.0,200.0,0.0,inf,1.0
Austria,Hungry,info_legal,27,0.0,200.0,0.0,inf,1.0
Austria,Hungry,info_legal,28,0.0,200.0,0.0,inf,1.0
Austria,Hungry,info_legal,29,0.0,200.0,0.0,inf,1.0
Austria,Hungry,info_legal,30,0.0,200.0,0.0,inf,1.0
Austria,Hungry,info_legal,31,0.0,200.0,0.0,inf,1.0
Austria,Hungry,medical,0,0.0,200.0,0.0,inf,1.0
Austria,Hungry,medical,1,0.0,200.0,0.0,inf,1.0
Austria,Hungry,medical,2,0.0,200.0,0.0,inf,1.0
Austria,Hungry,medical,3,0.0,200.0,0.0,inf,1.0
Austria,Hungry,medical,4,0.0,200.0,0.0,inf,1.0
Austria,Hungry,medical,5,0.0,200.0,0.0,inf,1.0
Austria,Hungry,medical,6,0.0,200.0,0.0,inf,1.0
Austria,Hungry,medical,7,0.0,200.0,0.0,inf,1.0
Austria,Hungry,medical,8,0.0,200.0,0.0,inf,1.0
Austria,Hungry,medical,9,0.0,200.0,0.0,inf,1.0
Austria,Hungry,medical,10,0.0,200.0,0.0,inf,1.0
Austria,Hungry,medical,11,0.0,200.0,0.0,inf,1.0
Austria,Hungry,medical,12,0.0,200.0,0.0,inf,1.0
Austria,Hungry,medical,13,0.0,200.0,0.0,inf,1.0
Austria,Hungry,medical,14,0.0,200.0,0.0,inf,1.0
Austria,Hungry,medical,15,0.0,200.0,0.0,inf,1.0
Austria,Hungry,medical,16,0.0,200.0,0.0,inf,1.0
Austria,Hungry,medical,17,0.0,200.0,0.0,inf,1.0
Austria,Hungry,medical,18,0.0,200.0,0.0,inf,1.0
Austria,Hungry,medical,19,0.0,200.0,0.0,inf,1.0
Austria,Hungry,medical,20,0.0,200.0,0.0,inf,1.0
Austria,Hungry,medical,21,0.0,200.0,0.0,inf,1.0
Austria,Hungry,medical,22,0.0,200.0,0.0,inf,1.0
Austria,Hungry,medical,23,0.0,200.0,0.0,inf,1.0
Austria,Hungry,medical,24,0.0,200.0,0.0,inf,1.0
Austria,Hungry,medical,25,0.0,200.0,0.0,inf,1.0
Austria,Hungry,medical,26,0.0,200.0,0.0,inf,1.0
Austria,Hungry,medical,27,0.0,200.0,0.0,inf,1.0
Austria,Hungry,medical,28,0.0,200.0,0.0,inf,1.0
Austria,Hungry,medical,29,0.0,200.0,0.0,inf,1.0
Austria,Hungry,medical,30,0.0,200.0,0.0,inf,1.0
Austria,Hungry,medical,31,0.0,200.0,0.0,inf,1.0
Austria,Moldova,info_legal,0,0.0,200.0,0.0,inf,1.0
Austria,Moldova,info_legal,1,0.0,200.0,0.0,inf,1.0
Austria,Moldova,info_legal,2,0.0,200.0,0.0,inf,1.0
Austria,Moldova,info_legal,3,0.0,200.0,0.0,inf,1.0
Austria,Moldova,info_legal,4,0.0,200.0,0.0,inf,1.0
Austria,Moldova,info_legal,5,0.0,200.0,0.0,inf,1.0
Austria,Moldova,info_legal,6,0.0,200.0,0.0,inf,1.0
Austria,Moldova,info_legal,7,0.0,200.0,0.0,inf,1.0
Austria,Moldova,info_legal,8,0.0,200.0,0.0,inf,1.0
Austria,Moldova,info_legal,9,2.0,200.0,0.0,inf,1.0
Austria,Moldova,info_legal,10,1.0,200.0,0.0,inf,1.0
Austria,Moldova,info_legal,11,0.0,200.0,0.0,inf,1.0
Austria,Moldova,info_legal,12,0.0,200.0,0.0,inf,1.0
Austria,Moldova,info_legal,13,0.0,200.0,0.0,inf,1.0
Austria,Moldova,info_legal,14,1.0,200.0,0.0,inf,1.0
Austria,Moldova,info_legal,15,0.0,200.0,0.0,inf,1.0
Austria,Moldova,info_legal,16,0.0,200.0,0.0,inf,1.0
Austria,Moldova,info_legal,17,0.0,200.0,0.0,inf,1.0
Austria,Moldova,info_legal,18,0.0,200.0,0.0,inf,1.0
Austria,Moldova,info_legal,19,0.0,200.0,0.0,inf,1.0
Austria,Moldova,info_legal,20,0.0,200.0,0.0,inf,1.0
Austria,Moldova,info_legal,21,0.0,200.0,0.0,inf,1.0
Austria,Moldova,info_legal,22,0.0,200.0,0.0,inf,1.0
Austria,Moldova,info_legal,23,0.0,200.0,0.0,inf,1.0
Austria,Moldova,info_legal,24,0.0,200.0,0.0,inf,1.0
Austria,Moldova,info_legal,25,0.0,200.0,0.0,inf,1.0
Austria,Moldova,info_legal,26,0.0,200.0,0.0,inf,1.0
Austria,Moldova,info_legal,27,0.0,200.0,0.0,inf,1.0
Austria,Moldova,info_legal,28,0.0,200.0,0.0,inf,1.0
Austria,Moldova,info_legal,29,0.0,200.0,0.0,inf,1.0
Austria,Moldova,info_legal,30,0.0,200.0,0.0,inf,1.0
Austria,Moldova,info_legal,31,0.0,200.0,0.0,inf,1.0
Austria,Moldova,medical,0,0.0,200.0,0.0,inf,1.0
Austria,Moldova,medical,1,0.0,200.0,0.0,inf,1.0
Austria,Moldova,medical,2,0.0,200.0,0.0,inf,1.0
Austria,Moldova,medical,3,0.0,200.0,0.0,inf,1.0
Austria,Moldova,medical,4,0.0,200.0,0.0,inf,1.0
Austria,Moldova,medical,5,0.0,200.0,0.0,inf,1.0
Austria,Moldova,medical,6,0.0,200.0,0.0,inf,1.0
Austria,Moldova,medical,7,0.0,200.0,0.0,inf,1.0
Austria,Moldova,medical,8,0.0,200.0,0.0,inf,1.0
Austria,Moldova,medical,9,0.0,200.0,0.0,inf,1.0
Austria,Moldova,medical,10,0.0,200.0,0.0,inf,1.0
Austria,Moldova,medical,11,0.0,200.0,0.0,inf,1.0
Austria,Moldova,medical,12,0.0,200.0,0.0,inf,1.0
Austria,Moldova,medical,13,0.0,200.0,0.0,inf,1.0
Austria,Moldova,medical,14,0.0,200.0,0.0,inf,1.0
Austria,Moldova,medical,15,0.0,200.0,0.0,inf,1.0
Austria,Moldova,medical,16,0.0,200.0,0.0,inf,1.0
Austria,Moldova,medical,17,0.0,200.0,0.0,inf,1.0
Austria,Moldova,medical,18,0.0,200.0,0.0,inf,1.0
Austria,Moldova,medical,19,0.0,200.0,0.0,inf,1.0
Austria,Moldova,medical,20,0.0,200.0,0.0,inf,1.0
Austria,Moldova,medical,21,0.0,200.0,0.0,inf,1.0
Austria,Moldova,medical,22,0.0,200.0,0.0,inf,1.0
Austria,Moldova,medical,23,0.0,200.0,0.0,inf,1.0
Austria,Moldova,medical,24,0.0,200.0,0.0,inf,1.0
Austria,Moldova,medical,25,0.0,200.0,0.0,inf,1.0
Austria,Moldova,medical,26,0.0,200.0,0.0,inf,1.0
Austria,Moldova,medical,27,0.0,200.0,0.0,inf,1.0
Austria,Moldova,medical,28,0.0,200.0,0.0,inf,1.0
Austria,Moldova,medical,29,0.0,200.0,0.0,inf,1.0
Austria,Moldova,medical,30,0.0,200.0,0.0,inf,1.0
Austria,Moldova,medical,31,0.0,200.0,0.0,inf,1.0
Austria,Poland,info_legal,0,0.0,200.0,0.0,inf,1.0
Austria,Poland,info_legal,1,0.0,200.0,0.0,inf,1.0
Austria,Poland,info_legal,2,0.0,200.0,0.0,inf,1.0
Austria,Poland,info_legal,3,0.0,200.0,0.0,inf,1.0
Austria,Poland,info_legal,4,0.0,200.0,0.0,inf,1.0
Austria,Poland,info_legal,5,0.0,200.0,0.0,inf,1.0
Austria,Poland,info_legal,6,0.0,200.0,0.0,inf,1.0
Austria,Poland,info_legal,7,0.0,200.0,0.0,inf,1.0
Austria,Poland,info_legal,8,0.0,200.0,0.0,inf,1.0
Austria,Poland,info_legal,9,0.0,200.0,0.0,inf,1.0
Austria,Poland,info_legal,10,0.0,200.0,0.0,inf,1.0
Austria,Poland,info_legal,11,0.0,200.0,0.0,inf,1.0
Austria,Poland,info_legal,12,0.0,200.0,0.0,inf,1.0
Austria,Poland,info_legal,13,0.99999999999892,200.0,0.0,inf,1.0
Austria,Poland,info_legal,14,0.0,200.0,0.0,inf,1.0
Austria,Poland,info_legal,15,0.0,200.0,0.0,inf,1.0
Austria,Poland,info_legal,16,0.0,200.0,0.0,inf,1.0
Austria,Poland,info_legal,17,0.0,200.0,0.0,inf,1.0
Austria,Poland,info_legal,18,0.0,200.0,0.0,inf,1.0
Austria,Poland,info_legal,19,0.0,200.0,0.0,inf,1.0
Austria,Poland,info_legal,20,0.0,200.0,0.0,inf,1.0
Austria,Poland,info_legal,21,0.0,200.0,0.0,inf,1.0
Austria,Poland,info_legal,22,0.0,200.0,0.0,inf,1.0
Austria,Poland,info_legal,23,0.0,200.0,0.0,inf,1.0
Austria,Poland,info_legal,24,0.0,200.0,0.0,inf,1.0
Austria,Poland,info_legal,25,0.0,200.0,0.0,inf,1.0
Austria,Poland,info_legal,26,0.0,200.0,0.0,inf,1.0
Austria,Poland,info_legal,27,0.0,200.0,0.0,inf,1.0
Austria,Poland,info_legal,28,0.0,200.0,0.0,inf,1.0
Austria,Poland,info_legal,29,0.0,200.0,0.0,inf,1.0
