i,p,r,a,t,level,marginal,lower,upper,scale
Austria,food_clothing,H,1,6,0.0,1000.0,0.0,inf,1.0
Austria,food_clothing,H,1,7,0.0,1000.0,0.0,inf,1.0
Austria,food_clothing,H,1,8,0.0,1000.0,0.0,inf,1.0
Austria,food_clothing,H,1,9,0.0,1000.0,0.0,inf,1.0
Austria,food_clothing,H,1,10,0.0,1000.0,0.0,inf,1.0
Austria,food_clothing,H,1,11,0.0,1000.0,0.0,inf,1.0
Austria,food_clothing,H,1,12,0.0,1000.0,0.0,inf,1.0
Austria,food_clothing,H,1,13,0.0,1000.0,0.0,inf,1.0
Austria,food_clothing,H,1,14,0.0,1000.0,0.0,inf,1.0
Austria,food_clothing,H,1,15,0.0,1000.0,0.0,inf,1.0
Austria,food_clothing,H,1,16,0.0,1000.0,0.0,inf,1.0
Austria,food_clothing,H,1,17,0.0,1000.0,0.0,inf,1.0
Austria,food_clothing,H,1,18,0.0,1000.0,0.0,inf,1.0
Austria,food_clothing,H,1,19,0.0,1000.0,0.0,inf,1.0
Austria,food_clothing,H,1,20,0.0,1000.0,0.0,inf,1.0
Austria,food_clothing,H,1,21,0.0,1000.0,0.0,inf,1.0
Austria,food_clothing,H,1,22,0.0,1000.0,0.0,inf,1.0
Austria,food_clothing,H,1,23,0.0,1000.0,0.0,inf,1.0
Austria,food_clothing,H,1,24,0.0,1000.0,0.0,inf,1.0
Austria,food_clothing,H,1,25,0.0,1000.0,0.0,inf,1.0
Austria,food_clothing,H,1,26,0.0,1000.0,0.0,inf,1.0
Austria,food_clothing,H,1,27,0.0,1000.0,0.0,inf,1.0
Austria,food_clothing,H,1,28,0.0,1000.0,0.0,inf,1.0
Austria,food_clothing,H,1,29,0.0,1000.0,0.0,inf,1.0
Austria,food_clothing,H,1,30,0.0,1000.0,0.0,inf,1.0
Austria,food_clothing,H,1,31,0.0,1000.0,0.0,inf,1.0
Austria,food_clothing,H,2,0,0.0,3000.0,0.0,inf,1.0
Austria,food_clothing,H,2,1,0.0,3000.0,0.0,inf,1.0
Austria,food_clothing,H,2,2,13660.0,3000.0,0.0,inf,1.0
Austria,food_clothing,H,2,3,0.0,3000.0,0.0,inf,1.0
Austria,food_clothing,H,2,4,0.0,3000.0,0.0,inf,1.0
Austria,food_clothing,H,2,5,0.0,3000.0,0.0,inf,1.0
Austria,food_clothing,H,2,6,0.0,3000.0,0.0,inf,1.0
Austria,food_clothing,H,2,7,0.0,3000.0,0.0,inf,1.0
Austria,food_clothing,H,2,8,0.0,3000.0,0.0,inf,1.0
Austria,food_clothing,H,2,9,0.0,3000.0,0.0,inf,1.0
Austria,food_clothing,H,2,10,0.0,3000.0,0.0,inf,1.0
Austria,food_clothing,H,2,11,0.0,3000.0,0.0,inf,1.0
Austria,food_clothing,H,2,12,0.0,3000.0,0.0,inf,1.0
Austria,food_clothing,H,2,13,0.0,3000.0,0.0,inf,1.0
Austria,food_clothing,H,2,14,0.0,3000.0,0.0,inf,1.0
Austria,food_clothing,H,2,15,0.0,3000.0,0.0,inf,1.0
Austria,food_clothing,H,2,16,0.0,3000.0,0.0,inf,1.0
Austria,food_clothing,H,2,17,0.0,3000.0,0.0,inf,1.0
