i,s,r,a,t,level,marginal,lower,upper,scale
Austria,info_legal,M,1,7,209.0,-0.0,0.0,inf,1.0
Austria,info_legal,M,1,8,400.0,-0.0,0.0,inf,1.0
Austria,info_legal,M,1,9,56.0,-0.0,0.0,inf,1.0
Austria,info_legal,M,1,10,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,M,1,11,250.0,-0.0,0.0,inf,1.0
Austria,info_legal,M,1,12,382.0,-0.0,0.0,inf,1.0
Austria,info_legal,M,1,13,329.0,-0.0,0.0,inf,1.0
Austria,info_legal,M,1,14,283.0,-0.0,0.0,inf,1.0
Austria,info_legal,M,1,15,247.0,-0.0,0.0,inf,1.0
Austria,info_legal,M,1,16,233.0,-0.0,0.0,inf,1.0
Austria,info_legal,M,1,17,272.0,-0.0,0.0,inf,1.0
Austria,info_legal,M,1,18,263.0,-0.0,0.0,inf,1.0
Austria,info_legal,M,1,19,246.0,-0.0,0.0,inf,1.0
Austria,info_legal,M,1,20,216.0,-0.0,0.0,inf,1.0
Austria,info_legal,M,1,21,133.0,-0.0,0.0,inf,1.0
Austria,info_legal,M,1,22,67.0,-0.0,0.0,inf,1.0
Austria,info_legal,M,1,23,72.0,-0.0,0.0,inf,1.0
Austria,info_legal,M,1,24,77.0,-0.0,0.0,inf,1.0
Austria,info_legal,M,1,25,79.0,-0.0,0.0,inf,1.0
Austria,info_legal,M,1,26,78.0,-0.0,0.0,inf,1.0
Austria,info_legal,M,1,27,80.0,-0.0,0.0,inf,1.0
Austria,info_legal,M,1,28,58.0,-0.0,0.0,inf,1.0
Austria,info_legal,M,1,29,10.0,-0.0,0.0,inf,1.0
Austria,info_legal,M,1,30,7.0,-0.0,0.0,inf,1.0
Austria,info_legal,M,1,31,1.0,-0.0,0.0,inf,1.0
Austria,info_legal,M,2,0,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,M,2,1,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,M,2,2,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,M,2,3,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,M,2,4,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,M,2,5,894.0,-0.0,0.0,inf,1.0
Austria,info_legal,M,2,6,872.0,-0.0,0.0,inf,1.0
Austria,info_legal,M,2,7,589.0,-0.0,0.0,inf,1.0
Austria,info_legal,M,2,8,314.0,-0.0,0.0,inf,1.0
Austria,info_legal,M,2,9,184.0,-0.0,0.0,inf,1.0
Austria,info_legal,M,2,10,340.0,-0.0,0.0,inf,1.0
Austria,info_legal,M,2,11,338.0,-0.0,0.0,inf,1.0
Austria,info_legal,M,2,12,113.0,-0.0,0.0,inf,1.0
Austria,info_legal,M,2,13,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,M,2,14,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,M,2,15,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,M,2,16,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,M,2,17,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,M,2,18,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,M,2,19,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,M,2,20,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,M,2,21,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,M,2,22,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,M,2,23,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,M,2,24,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,M,2,25,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,M,2,26,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,M,2,27,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,M,2,28,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,M,2,29,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,M,2,30,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,M,2,31,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,M,3,0,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,M,3,1,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,M,3,2,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,M,3,3,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,M,3,4,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,M,3,5,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,M,3,6,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,M,3,7,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,M,3,8,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,M,3,9,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,M,3,10,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,M,3,11,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,M,3,12,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,M,3,13,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,M,3,14,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,M,3,15,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,M,3,16,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,M,3,17,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,M,3,18,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,M,3,19,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,M,3,20,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,M,3,21,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,M,3,22,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,M,3,23,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,M,3,24,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,M,3,25,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,M,3,26,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,M,3,27,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,M,3,28,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,M,3,29,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,M,3,30,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,M,3,31,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,H,1,0,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,H,1,1,6800.0,-0.0,0.0,inf,1.0
Austria,info_legal,H,1,2,6370.0,-0.0,0.0,inf,1.0
Austria,info_legal,H,1,3,6389.0,-0.0,0.0,inf,1.0
Austria,info_legal,H,1,4,6527.0,-0.0,0.0,inf,1.0
Austria,info_legal,H,1,5,5073.0,-0.0,0.0,inf,1.0
Austria,info_legal,H,1,6,5173.0,-0.0,0.0,inf,1.0
Austria,info_legal,H,1,7,4402.0,-0.0,0.0,inf,1.0
Austria,info_legal,H,1,8,5286.0,-0.0,0.0,inf,1.0
Austria,info_legal,H,1,9,4760.0,-0.0,0.0,inf,1.0
Austria,info_legal,H,1,10,3817.0,-0.0,0.0,inf,1.0
Austria,info_legal,H,1,11,3627.0,-0.0,0.0,inf,1.0
Austria,info_legal,H,1,12,3579.0,-0.0,0.0,inf,1.0
Austria,info_legal,H,1,13,3305.0,-0.0,0.0,inf,1.0
Austria,info_legal,H,1,14,2805.0,-0.0,0.0,inf,1.0
Austria,info_legal,H,1,15,2688.0,-0.0,0.0,inf,1.0
Austria,info_legal,H,1,16,2014.0,-0.0,0.0,inf,1.0
Austria,info_legal,H,1,17,2301.0,-0.0,0.0,inf,1.0
Austria,info_legal,H,1,18,1904.0,-0.0,0.0,inf,1.0
Austria,info_legal,H,1,19,1900.0,-0.0,0.0,inf,1.0
Austria,info_legal,H,1,20,2257.0,-0.0,0.0,inf,1.0
Austria,info_legal,H,1,21,1049.0,-0.0,0.0,inf,1.0
Austria,info_legal,H,1,22,299.0,-0.0,0.0,inf,1.0
Austria,info_legal,H,1,23,293.0,-0.0,0.0,inf,1.0
Austria,info_legal,H,1,24,314.0,-0.0,0.0,inf,1.0
Austria,info_legal,H,1,25,240.0,-0.0,0.0,inf,1.0
Austria,info_legal,H,1,26,200.0,-0.0,0.0,inf,1.0
Austria,info_legal,H,1,27,251.0,-0.0,0.0,inf,1.0
Austria,info_legal,H,1,28,208.0,-0.0,0.0,inf,1.0
Austria,info_legal,H,1,29,37.0,-0.0,0.0,inf,1.0
Austria,info_legal,H,1,30,11.0,-0.0,0.0,inf,1.0
Austria,info_legal,H,1,31,1.0,-0.0,0.0,inf,1.0
Austria,info_legal,H,2,0,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,H,2,1,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,H,2,2,30.0,-0.0,0.0,inf,1.0
Austria,info_legal,H,2,3,211.0,-0.0,0.0,inf,1.0
Austria,info_legal,H,2,4,73.0,-0.0,0.0,inf,1.0
Austria,info_legal,H,2,5,4.0,-0.0,0.0,inf,1.0
Austria,info_legal,H,2,6,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,H,2,7,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,H,2,8,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,H,2,9,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,H,2,10,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,H,2,11,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,H,2,12,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,H,2,13,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,H,2,14,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,H,2,15,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,H,2,16,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,H,2,17,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,H,2,18,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,H,2,19,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,H,2,20,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,H,2,21,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,H,2,22,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,H,2,23,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,H,2,24,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,H,2,25,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,H,2,26,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,H,2,27,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,H,2,28,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,H,2,29,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,H,2,30,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,H,2,31,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,H,3,0,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,H,3,1,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,H,3,2,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,H,3,3,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,H,3,4,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,H,3,5,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,H,3,6,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,H,3,7,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,H,3,8,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,H,3,9,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,H,3,10,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,H,3,11,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,H,3,12,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,H,3,13,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,H,3,14,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,H,3,15,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,H,3,16,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,H,3,17,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,H,3,18,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,H,3,19,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,H,3,20,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,H,3,21,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,H,3,22,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,H,3,23,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,H,3,24,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,H,3,25,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,H,3,26,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,H,3,27,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,H,3,28,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,H,3,29,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,H,3,30,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,H,3,31,0.0,-0.0,0.0,inf,1.0
Austria,medical,L,1,0,0.0,-0.0,0.0,inf,1.0
Austria,medical,L,1,1,880.0,-0.0,0.0,inf,1.0
Austria,medical,L,1,2,558.0,-0.0,0.0,inf,1.0
Austria,medical,L,1,3,260.0,-0.0,0.0,inf,1.0
Austria,medical,L,1,4,154.0,-0.0,0.0,inf,1.0
Austria,medical,L,1,5,162.0,-0.0,0.0,inf,1.0
Austria,medical,L,1,6,148.0,-0.0,0.0,inf,1.0
Austria,medical,L,1,7,110.0,-0.0,0.0,inf,1.0
Austria,medical,L,1,8,85.0,-0.0,0.0,inf,1.0
Austria,medical,L,1,9,70.0,-0.0,0.0,inf,1.0
Austria,medical,L,1,10,59.0,-0.0,0.0,inf,1.0
Austria,medical,L,1,11,61.0,-0.0,0.0,inf,1.0
Austria,medical,L,1,12,50.0,-0.0,0.0,inf,1.0
Austria,medical,L,1,13,56.0,-0.0,0.0,inf,1.0
Austria,medical,L,1,14,40.0,-0.0,0.0,inf,1.0
Austria,medical,L,1,15,41.0,-0.0,0.0,inf,1.0
Austria,medical,L,1,16,46.0,-0.0,0.0,inf,1.0
Austria,medical,L,1,17,49.0,-0.0,0.0,inf,1.0
Austria,medical,L,1,18,54.0,-0.0,0.0,inf,1.0
Austria,medical,L,1,19,44.0,-0.0,0.0,inf,1.0
Austria,medical,L,1,20,44.0,-0.0,0.0,inf,1.0
Austria,medical,L,1,21,32.0,-0.0,0.0,inf,1.0
Austria,medical,L,1,22,20.0,-0.0,0.0,inf,1.0
Austria,medical,L,1,23,24.0,-0.0,0.0,inf,1.0
Austria,medical,L,1,24,21.0,-0.0,0.0,inf,1.0
Austria,medical,L,1,25,22.0,-0.0,0.0,inf,1.0
Austria,medical,L,1,26,18.0,-0.0,0.0,inf,1.0
Austria,medical,L,1,27,20.0,-0.0,0.0,inf,1.0
Austria,medical,L,1,28,17.0,-0.0,0.0,inf,1.0
Austria,medical,L,1,29,6.0,-0.0,0.0,inf,1.0
Austria,medical,L,1,30,2.0,-0.0,0.0,inf,1.0
Austria,medical,L,1,31,0.0,-0.0,0.0,inf,1.0
Austria,medical,L,2,0,0.0,-0.0,0.0,inf,1.0
Austria,medical,L,2,1,0.0,-0.0,0.0,inf,1.0
Austria,medical,L,2,2,0.0,-0.0,0.0,inf,1.0
Austria,medical,L,2,3,0.0,-0.0,0.0,inf,1.0
Austria,medical,L,2,4,0.0,-0.0,0.0,inf,1.0
Austria,medical,L,2,5,0.0,-0.0,0.0,inf,1.0
Austria,medical,L,2,6,0.0,-0.0,0.0,inf,1.0
Austria,medical,L,2,7,0.0,-0.0,0.0,inf,1.0
Austria,medical,L,2,8,0.0,-0.0,0.0,inf,1.0
Austria,medical,L,2,9,0.0,-0.0,0.0,inf,1.0
Austria,medical,L,2,10,0.0,-0.0,0.0,inf,1.0
Austria,medical,L,2,11,0.0,-0.0,0.0,inf,1.0
Austria,medical,L,2,12,0.0,-0.0,0.0,inf,1.0
Austria,medical,L,2,13,0.0,-0.0,0.0,inf,1.0
Austria,medical,L,2,14,0.0,-0.0,0.0,inf,1.0
Austria,medical,L,2,15,0.0,-0.0,0.0,inf,1.0
Austria,medical,L,2,16,0.0,-0.0,0.0,inf,1.0
Austria,medical,L,2,17,0.0,-0.0,0.0,inf,1.0
Austria,medical,L,2,18,0.0,-0.0,0.0,inf,1.0
Austria,medical,L,2,19,0.0,-0.0,0.0,inf,1.0
Austria,medical,L,2,20,0.0,-0.0,0.0,inf,1.0
Austria,medical,L,2,21,0.0,-0.0,0.0,inf,1.0
Austria,medical,L,2,22,0.0,-0.0,0.0,inf,1.0
Austria,medical,L,2,23,0.0,-0.0,0.0,inf,1.0
Austria,medical,L,2,24,0.0,-0.0,0.0,inf,1.0
Austria,medical,L,2,25,0.0,-0.0,0.0,inf,1.0
Austria,medical,L,2,26,0.0,-0.0,0.0,inf,1.0
Austria,medical,L,2,27,0.0,-0.0,0.0,inf,1.0
Austria,medical,L,2,28,0.0,-0.0,0.0,inf,1.0
Austria,medical,L,2,29,0.0,-0.0,0.0,inf,1.0
Austria,medical,L,2,30,0.0,-0.0,0.0,inf,1.0
Austria,medical,L,2,31,0.0,-0.0,0.0,inf,1.0
Austria,medical,L,3,0,0.0,-0.0,0.0,inf,1.0
Austria,medical,L,3,1,0.0,-0.0,0.0,inf,1.0
Austria,medical,L,3,2,0.0,-0.0,0.0,inf,1.0
Austria,medical,L,3,3,0.0,-0.0,0.0,inf,1.0
Austria,medical,L,3,4,0.0,-0.0,0.0,inf,1.0
Austria,medical,L,3,5,0.0,-0.0,0.0,inf,1.0
Austria,medical,L,3,6,0.0,-0.0,0.0,inf,1.0
Austria,medical,L,3,7,0.0,-0.0,0.0,inf,1.0
Austria,medical,L,3,8,0.0,-0.0,0.0,inf,1.0
Austria,medical,L,3,9,0.0,-0.0,0.0,inf,1.0
Austria,medical,L,3,10,0.0,-0.0,0.0,inf,1.0
Austria,medical,L,3,11,0.0,-0.0,0.0,inf,1.0
Austria,medical,L,3,12,0.0,-0.0,0.0,inf,1.0
Austria,medical,L,3,13,0.0,-0.0,0.0,inf,1.0
Austria,medical,L,3,14,0.0,-0.0,0.0,inf,1.0
Austria,medical,L,3,15,0.0,-0.0,0.0,inf,1.0
Austria,medical,L,3,16,0.0,-0.0,0.0,inf,1.0
Austria,medical,L,3,17,0.0,-0.0,0.0,inf,1.0
Austria,medical,L,3,18,0.0,-0.0,0.0,inf,1.0
Austria,medical,L,3,19,0.0,-0.0,0.0,inf,1.0
Austria,medical,L,3,20,0.0,-0.0,0.0,inf,1.0
Austria,medical,L,3,21,0.0,-0.0,0.0,inf,1.0
Austria,medical,L,3,22,0.0,-0.0,0.0,inf,1.0
Austria,medical,L,3,23,0.0,-0.0,0.0,inf,1.0
Austria,medical,L,3,24,0.0,-0.0,0.0,inf,1.0
Austria,medical,L,3,25,0.0,-0.0,0.0,inf,1.0
Austria,medical,L,3,26,0.0,-0.0,0.0,inf,1.0
Austria,medical,L,3,27,0.0,-0.0,0.0,inf,1.0
Austria,medical,L,3,28,0.0,-0.0,0.0,inf,1.0
Austria,medical,L,3,29,0.0,-0.0,0.0,inf,1.0
Austria,medical,L,3,30,0.0,-0.0,0.0,inf,1.0
Austria,medical,L,3,31,0.0,-0.0,0.0,inf,1.0
Austria,medical,M,1,0,0.0,-0.0,0.0,inf,1.0
Austria,medical,M,1,1,921.0,-0.0,0.0,inf,1.0
Austria,medical,M,1,2,714.0,-0.0,0.0,inf,1.0
Austria,medical,M,1,3,583.0,-0.0,0.0,inf,1.0
Austria,medical,M,1,4,447.0,-0.0,0.0,inf,1.0
Austria,medical,M,1,5,451.0,-0.0,0.0,inf,1.0
Austria,medical,M,1,6,372.0,-0.0,0.0,inf,1.0
Austria,medical,M,1,7,262.0,-0.0,0.0,inf,1.0
Austria,medical,M,1,8,292.0,-0.0,0.0,inf,1.0
Austria,medical,M,1,9,198.0,-0.0,0.0,inf,1.0
Austria,medical,M,1,10,169.0,-0.0,0.0,inf,1.0
Austria,medical,M,1,11,181.0,-0.0,0.0,inf,1.0
Austria,medical,M,1,12,191.0,-0.0,0.0,inf,1.0
Austria,medical,M,1,13,164.0,-0.0,0.0,inf,1.0
Austria,medical,M,1,14,142.0,-0.0,0.0,inf,1.0
Austria,medical,M,1,15,124.0,-0.0,0.0,inf,1.0
Austria,medical,M,1,16,117.0,-0.0,0.0,inf,1.0
Austria,medical,M,1,17,136.0,-0.0,0.0,inf,1.0
Austria,medical,M,1,18,132.0,-0.0,0.0,inf,1.0
Austria,medical,M,1,19,123.0,-0.0,0.0,inf,1.0
