i,s,t,level,marginal,lower,upper,scale
Denmark,medical,30,3.0,1200.0,0.0,inf,1.0
Denmark,medical,31,3.0,1200.0,0.0,inf,1.0
France,info_legal,0,0.0,1000.0,0.0,inf,1.0
France,info_legal,1,1.0,1000.0,0.0,inf,1.0
France,info_legal,2,6.0,1000.0,0.0,inf,1.0
France,info_legal,3,6.0,1000.0,0.0,inf,1.0
France,info_legal,4,7.0,1000.0,0.0,inf,1.0
France,info_legal,5,6.0,1000.0,0.0,inf,1.0
France,info_legal,6,4.0,1000.0,0.0,inf,1.0
France,info_legal,7,7.0,1000.0,0.0,inf,1.0
France,info_legal,8,11.000000000000181,1000.0,0.0,inf,1.0
France,info_legal,9,12.0,1000.0,0.0,inf,1.0
France,info_legal,10,11.0,1000.0,0.0,inf,1.0
France,info_legal,11,10.0,1000.0,0.0,inf,1.0
France,info_legal,12,10.0,1000.0,0.0,inf,1.0
France,info_legal,13,9.00000000000114,1000.0,0.0,inf,1.0
France,info_legal,14,7.00000000000114,1000.0,0.0,inf,1.0
France,info_legal,15,7.00000000000114,1000.0,0.0,inf,1.0
France,info_legal,16,7.00000000000114,1000.0,0.0,inf,1.0
France,info_legal,17,7.00000000000114,1000.0,0.0,inf,1.0
France,info_legal,18,6.0,1000.0,0.0,inf,1.0
France,info_legal,19,6.0,1000.0,0.0,inf,1.0
France,info_legal,20,6.0,1000.0,0.0,inf,1.0
France,info_legal,21,4.0,1000.0,0.0,inf,1.0
France,info_legal,22,4.0,1000.0,0.0,inf,1.0
France,info_legal,23,4.0,1000.0,0.0,inf,1.0
France,info_legal,24,4.0,1000.0,0.0,inf,1.0
France,info_legal,25,4.0,1000.0,0.0,inf,1.0
France,info_legal,26,4.0,1000.0,0.0,inf,1.0
France,info_legal,27,4.0,1000.0,0.0,inf,1.0
France,info_legal,28,4.0,1000.0,0.0,inf,1.0
France,info_legal,29,4.0,1000.0,0.0,inf,1.0
France,info_legal,30,4.0,1000.0,0.0,inf,1.0
France,info_legal,31,4.0,1000.0,0.0,inf,1.0
France,medical,0,0.0,1200.0,0.0,inf,1.0
France,medical,1,3.0,1200.0,0.0,inf,1.0
France,medical,2,6.0,1200.0,0.0,inf,1.0
France,medical,3,6.0,1200.0,0.0,inf,1.0
France,medical,4,6.0,1200.0,0.0,inf,1.0
France,medical,5,6.0,1200.0,0.0,inf,1.0
France,medical,6,6.0,1200.0,0.0,inf,1.0
France,medical,7,6.0,1200.0,0.0,inf,1.0
France,medical,8,7.0,1200.0,0.0,inf,1.0
France,medical,9,7.0,1200.0,0.0,inf,1.0
France,medical,10,7.0,1200.0,0.0,inf,1.0
France,medical,11,7.0,1200.0,0.0,inf,1.0
France,medical,12,7.0,1200.0,0.0,inf,1.0
France,medical,13,7.0,1200.0,0.0,inf,1.0
France,medical,14,7.0,1200.0,0.0,inf,1.0
France,medical,15,7.0,1200.0,0.0,inf,1.0
France,medical,16,7.0,1200.0,0.0,inf,1.0
France,medical,17,7.0,1200.0,0.0,inf,1.0
France,medical,18,7.0,1200.0,0.0,inf,1.0
France,medical,19,7.0,1200.0,0.0,inf,1.0
France,medical,20,7.0,1200.0,0.0,inf,1.0
France,medical,21,7.0,1200.0,0.0,inf,1.0
France,medical,22,6.0,1200.0,0.0,inf,1.0
France,medical,23,6.0,1200.0,0.0,inf,1.0
France,medical,24,6.0,1200.0,0.0,inf,1.0
France,medical,25,6.0,1200.0,0.0,inf,1.0
France,medical,26,6.0,1200.0,0.0,inf,1.0
France,medical,27,6.0,1200.0,0.0,inf,1.0
France,medical,28,6.0,1200.0,0.0,inf,1.0
France,medical,29,6.0,1200.0,0.0,inf,1.0
France,medical,30,6.0,1200.0,0.0,inf,1.0
France,medical,31,6.0,1200.0,0.0,inf,1.0
Germany,info_legal,0,0.0,1000.0,0.0,inf,1.0
Germany,info_legal,1,51.0,1000.0,0.0,inf,1.0
Germany,info_legal,2,43.0,1000.0,0.0,inf,1.0
Germany,info_legal,3,41.0,1000.0,0.0,inf,1.0
Germany,info_legal,4,40.0,1000.0,0.0,inf,1.0
Germany,info_legal,5,40.0,1000.0,0.0,inf,1.0
Germany,info_legal,6,38.0,1000.0,0.0,inf,1.0
Germany,info_legal,7,33.0,1000.0,0.0,inf,1.0
Germany,info_legal,8,28.0,1000.0,0.0,inf,1.0
Germany,info_legal,9,29.0,1000.0,0.0,inf,1.0
Germany,info_legal,10,28.0,1000.0,0.0,inf,1.0
Germany,info_legal,11,28.0,1000.0,0.0,inf,1.0
Germany,info_legal,12,25.99999999999778,1000.0,0.0,inf,1.0
Germany,info_legal,13,24.99999999999778,1000.0,0.0,inf,1.0
Germany,info_legal,14,24.99999999999778,1000.0,0.0,inf,1.0
Germany,info_legal,15,24.99999999999778,1000.0,0.0,inf,1.0
Germany,info_legal,16,24.99999999999778,1000.0,0.0,inf,1.0
Germany,info_legal,17,24.99999999999778,1000.0,0.0,inf,1.0
Germany,info_legal,18,24.99999999999778,1000.0,0.0,inf,1.0
Germany,info_legal,19,24.99999999999778,1000.0,0.0,inf,1.0
Germany,info_legal,20,24.99999999999778,1000.0,0.0,inf,1.0
Germany,info_legal,21,24.99999999999778,1000.0,0.0,inf,1.0
Germany,info_legal,22,24.99999999999778,1000.0,0.0,inf,1.0
Germany,info_legal,23,24.99999999999778,1000.0,0.0,inf,1.0
Germany,info_legal,24,24.99999999999778,1000.0,0.0,inf,1.0
Germany,info_legal,25,24.99999999999778,1000.0,0.0,inf,1.0
Germany,info_legal,26,24.99999999999778,1000.0,0.0,inf,1.0
Germany,info_legal,27,24.99999999999778,1000.0,0.0,inf,1.0
Germany,info_legal,28,24.99999999999778,1000.0,0.0,inf,1.0
Germany,info_legal,29,24.99999999999778,1000.0,0.0,inf,1.0
Germany,info_legal,30,24.99999999999778,1000.0,0.0,inf,1.0
Germany,info_legal,31,24.99999999999778,1000.0,0.0,inf,1.0
Germany,medical,0,0.0,1200.0,0.0,inf,1.0
Germany,medical,1,47.0,1200.0,0.0,inf,1.0
Germany,medical,2,36.0,1200.0,0.0,inf,1.0
Germany,medical,3,36.0,1200.0,0.0,inf,1.0
Germany,medical,4,35.0,1200.0,0.0,inf,1.0
Germany,medical,5,33.0,1200.0,0.0,inf,1.0
Germany,medical,6,29.0,1200.0,0.0,inf,1.0
Germany,medical,7,25.0,1200.0,0.0,inf,1.0
Germany,medical,8,24.0,1200.0,0.0,inf,1.0
Germany,medical,9,24.0,1200.0,0.0,inf,1.0
Germany,medical,10,24.0,1200.0,0.0,inf,1.0
Germany,medical,11,24.0,1200.0,0.0,inf,1.0
Germany,medical,12,24.0,1200.0,0.0,inf,1.0
Germany,medical,13,23.0,1200.0,0.0,inf,1.0
Germany,medical,14,23.0,1200.0,0.0,inf,1.0
Germany,medical,15,23.0,1200.0,0.0,inf,1.0
Germany,medical,16,23.0,1200.0,0.0,inf,1.0
Germany,medical,17,23.0,1200.0,0.0,inf,1.0
Germany,medical,18,23.0,1200.0,0.0,inf,1.0
Germany,medical,19,23.0,1200.0,0.0,inf,1.0
Germany,medical,20,23.0,1200.0,0.0,inf,1.0
Germany,medical,21,23.0,1200.0,0.0,inf,1.0
Germany,medical,22,23.0,1200.0,0.0,inf,1.0
Germany,medical,23,23.0,1200.0,0.0,inf,1.0
Germany,medical,24,23.0,1200.0,0.0,inf,1.0
Germany,medical,25,23.0,1200.0,0.0,inf,1.0
Germany,medical,26,23.0,1200.0,0.0,inf,1.0
Germany,medical,27,23.0,1200.0,0.0,inf,1.0
Germany,medical,28,23.0,1200.0,0.0,inf,1.0
Germany,medical,29,23.0,1200.0,0.0,inf,1.0
Germany,medical,30,23.0,1200.0,0.0,inf,1.0
Germany,medical,31,23.0,1200.0,0.0,inf,1.0
Hungry,info_legal,0,0.0,1000.0,0.0,inf,1.0
